type.info,,,
R06_04_04_Case_Not_Enclosed_By_Compound_Switch,R06_04_04_Case_Not_Enclosed_By_Compound_Switch,659,
R06_04_02_If_Else_If_Not_Ending_With_Else,R06_04_02_If_Else_If_Not_Ending_With_Else,659,
R06_04_01_Not_Compound_If_Or_Else,R06_04_01_Not_Compound_If_Or_Else,659,
R06_03_01_Not_Compound_Switch_Or_Iteration_Statement,R06_03_01_Not_Compound_Switch_Or_Iteration_Statement,659,
R05_03_02_Unary_Minus_Operator_On_Unsigned_Type,R05_03_02_Unary_Minus_Operator_On_Unsigned_Type,659,
R05_02_10_Using_Of_Incremental_And_Decrimental_Operators,R05_02_10_Using_Of_Incremental_And_Decrimental_Operators,659,
R05_02_01_AND_OR_Operands_Not_As_Postfix_Expressions,R05_02_01_AND_OR_Operands_Not_As_Postfix_Expressions,659,
R05_18_01_Comma_Operator_Used,R05_18_01_Comma_Operator_Used,659,
R05_00_07_Improper_Explicit_Floating_Integral_Conversion_Of_Expression,R05_00_07_Improper_Explicit_Floating_Integral_Conversion_Of_Expression,659,
R05_00_21_Bitwise_Operator_On_Signed_Type,R05_00_21_Bitwise_Operator_On_Signed_Type,659,
R05_00_12_Not_Plain_Char_Type_Usage,R05_00_12_Not_Plain_Char_Type_Usage,659,
R05_00_11_Plain_Char_Type_Usage,R05_00_11_Plain_Char_Type_Usage,659,
R05_00_10_Bitwise_Operator_On_Unsigned_Char_Short_Types,R05_00_10_Bitwise_Operator_On_Unsigned_Char_Short_Types,659,
R03_09_02_Non_Typedef_Basic_Types,R03_09_02_Non_Typedef_Basic_Types,659,
R02_07_03_Code_CPP_Commented_Out,R02_07_03_Code_CPP_Commented_Out,659,
R02_07_02_Code_Commented_Out,R02_07_02_Code_Commented_Out,659,
R02_03_01_Trigraphs,R02_03_01_Trigraphs,659,
R02_13_03_U_Suffix_Not_Applied_To_Unsigned_Hex_Oct,R02_13_03_U_Suffix_Not_Applied_To_Unsigned_Hex_Oct,659,
R02_13_02_Non_Zero_Octal_Constant,R02_13_02_Non_Zero_Octal_Constant,659,
R02_10_04_Class_Enum_Union_Names_Reused,R02_10_04_Class_Enum_Union_Names_Reused,659,
R02_10_03_Typedef_Name_Reused,R02_10_03_Typedef_Name_Reused,659,
R02_10_02_Identifiers_Hide_Outer_Scope_Identifiers,R02_10_02_Identifiers_Hide_Outer_Scope_Identifiers,659,
R16_03_02_Pound_Preprocessor_Operator_Is_Used,R16_03_02_Pound_Preprocessor_Operator_Is_Used,659,
R16_02_06_Include_Directive_In_Wrong_Format,R16_02_06_Include_Directive_In_Wrong_Format,659,
R16_01_02_Preprocessor_If_And_Else_Operators_Reside_In_Different_Files,R16_01_02_Preprocessor_If_And_Else_Operators_Reside_In_Different_Files,659,
R16_00_03_Use_Of_Undef_Directive,R16_00_03_Use_Of_Undef_Directive,659,
R20_12_Using_Time_Handling_From_Time_H,R20_12_Using_Time_Handling_From_Time_H,658,
R20_11_Using_Abort_Exit_Getenv_System_Functions_From_Stdlib_H,R20_11_Using_Abort_Exit_Getenv_System_Functions_From_Stdlib_H,658,
R20_10_Using_Atof_Atoi_Atol_Functions_From_Stdlib_H,R20_10_Using_Atof_Atoi_Atol_Functions_From_Stdlib_H,658,
R20_09_Using_Input_Output_From_Stdio_H,R20_09_Using_Input_Output_From_Stdio_H,658,
R20_08_Using_Signal_Handling_From_Signal_H,R20_08_Using_Signal_Handling_From_Signal_H,658,
R20_07_Using_Setjmp_Longjmp_Macros_From_Setjmp_H,R20_07_Using_Setjmp_Longjmp_Macros_From_Setjmp_H,658,
R20_06_Using_Offsetof_Macro_From_Stddef_H,R20_06_Using_Offsetof_Macro_From_Stddef_H,658,
R20_05_Using_Errno_Indicator_From_Errno_H,R20_05_Using_Errno_Indicator_From_Errno_H,658,
R19_17_Preprocessor_If_And_Else_Operators_Reside_In_Different_Files,R19_17_Preprocessor_If_And_Else_Operators_Reside_In_Different_Files,658,
R19_13_Pound_Preprocessor_Operator_Is_Used,R19_13_Pound_Preprocessor_Operator_Is_Used,658,
R19_12_Multiple_Pound_Or_Double_Pound_In_Same_Macro,R19_12_Multiple_Pound_Or_Double_Pound_In_Same_Macro,658,
R19_06_Use_Of_Undef_Derective,R19_06_Use_Of_Undef_Derective,658,
R19_05_Using_Define_Or_Undef_Directive_In_Block,R19_05_Using_Define_Or_Undef_Directive_In_Block,658,
R19_03_Include_Directive_In_Wrong_Format,R19_03_Include_Directive_In_Wrong_Format,658,
R19_02_Non_Standard_Chars_In_Header_File_Name,R19_02_Non_Standard_Chars_In_Header_File_Name,658,
R19_01_Non_Prepocessor_Command_Before_Include_In_File,R19_01_Non_Prepocessor_Command_Before_Include_In_File,658,
R18_04_Use_Of_Union,R18_04_Use_Of_Union,658,
R16_09_Using_Function_Identifier_Not_Call_Or_Pointer,R16_09_Using_Function_Identifier_Not_Call_Or_Pointer,658,
R16_08_Non_Explicit_Return_Statement_In_Non_Void_Function,R16_08_Non_Explicit_Return_Statement_In_Non_Void_Function,658,
R16_07_Parameter_Pointer_To_Const_Where_Not_Modified,R16_07_Parameter_Pointer_To_Const_Where_Not_Modified,658,
R16_06_Function_Invoke_Arg_Number_Not_Match_Function_Def_Number,R16_06_Function_Invoke_Arg_Number_Not_Match_Function_Def_Number,658,
R16_05_Function_Prototype_Declaration_Without_Parameters,R16_05_Function_Prototype_Declaration_Without_Parameters,658,
R16_04_Different_Identifiers_In_Function_Definition_And_Prototype,R16_04_Different_Identifiers_In_Function_Definition_And_Prototype,658,
