10/16/2014 09:00:00
type.info,,,
Clang,http://clang-analyzer.llvm.org/,checker-276,NOTE HERE ON FILE INPUT TYPE
type.vulnerabilities,,,
Memory (Core Foundation/Objective-C):Direct assignment to an instance variable backing a property; use the setter instead,Memory (Core Foundation/Objective-C):Direct assignment to an instance variable backing a property; use the setter instead,485
Memory (Core Foundation/Objective-C):Incompatible instance method return type,Memory (Core Foundation/Objective-C):Incompatible instance method return type,119
Memory (Core Foundation/Objective-C):Incomplete invalidation,Memory (Core Foundation/Objective-C):Incomplete invalidation,404
Memory (Core Foundation/Objective-C):Leak,Memory (Core Foundation/Objective-C):Leak,401
Memory (Core Foundation/Objective-C):Leak of returned object,Memory (Core Foundation/Objective-C):Leak of returned object,401
Memory (Core Foundation/Objective-C):missing -dealloc,Memory (Core Foundation/Objective-C):missing -dealloc,401
Memory Error:Bad deallocator,Memory Error:Bad deallocator,762
Memory Error:Bad free,Memory Error:Bad free,762
Memory Error:Double delete,Memory Error:Double delete,415
Memory Error:Double free,Memory Error:Double free,415
Memory Error:Memory leak,Memory Error:Memory leak,401
Memory Error:Offset free,Memory Error:Offset free,762
Memory Error:Use-after-free,Memory Error:Use-after-free,416
Optimization:Unused instance variable,Optimization:Unused instance variable,563
Security:Floating point variable used as loop counter,Security:Floating point variable used as loop counter,739
Security:Insecure temporary file creation,Security:Insecure temporary file creation,377
Security:Potential buffer overflow in call to 'getpw',Security:Potential buffer overflow in call to 'getpw',477
Security:Potential buffer overflow in call to 'gets',Security:Potential buffer overflow in call to 'gets',242
Security:Potential insecure implementation-specific behavior in call 'vfork',Security:Potential insecure implementation-specific behavior in call 'vfork',242
Security:Potential insecure memory buffer bounds restriction in call 'strcat',Security:Potential insecure memory buffer bounds restriction in call 'strcat',119
Security:Potential insecure memory buffer bounds restriction in call 'strcpy',Security:Potential insecure memory buffer bounds restriction in call 'strcpy',119
Security:Potential insecure temporary file in call 'mktemp',Security:Potential insecure temporary file in call 'mktemp',377
Security:'random' is not a secure random number generator,Security:'random' is not a secure random number generator,338
Unix API:Allocator sizeof operand mismatch,Unix API:Allocator sizeof operand mismatch,131
Unix API:Argument is not a null-terminated string.,Unix API:Argument is not a null-terminated string.,119
Unix API:Improper arguments,Unix API:Improper arguments,628
Unix API:Improper use of 'open',Unix API:Improper use of 'open',227
Unix API:Improper use of 'pthread_once',Unix API:Improper use of 'pthread_once',227
Unix API:malloc() size overflow,Unix API:malloc() size overflow,131
Unix API:Null pointer argument in call to byte string function,Unix API:Null pointer argument in call to byte string function,119
Unix Stream API Error:Double fclose,Unix Stream API Error:Double fclose,672
Unix Stream API Error:Resource Leak,Unix Stream API Error:Resource Leak,775
Untrusted Data:Use of Untrusted Data,Untrusted Data:Use of Untrusted Data,349
type.severities,,,
Medium,Medium,3,3
