8/6/2014 11:45:00
type.info,,
Skipfish
type.vulnerabilities,,
JSON response with no apparent XSSI protection,30602,79
Incorrect or missing charset (low risk),10803,16
Numerical filename - consider enumerating,10901,16
New 404 signature seen,10205,16
New 'X-*' header value seen,10204,16
Incorrect or missing MIME type (low risk),10801,16
New 'Via' header value seen,10203,16
New HTTP cookie added,10201,16
New 'Server' header value seen,10202,16
Unknown form field (can't autocomplete),10505,16
